TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;9.49;;-3.92;1.3;0.45;30.29;-1.09;-25.3;-90.94;-165.78;-72.55;1.03;0.99;-3.49;-0.53;0.55;-33.11;-11.37;-1.98;0.34;0.65;0.45;0.13;;1740903.41;7.32;-2.42;-0.01;1122598824
ABCB4;18.99;6.35;5.46;0.79;0.08;31.62;25.25;19.35;4.19;4.25;;;1.06;3.47;-0.08;1.5;14.5;1.45;;0.1;0.9;0.07;18.7;12.95;11905863.56;23.98;3.48;0.37;4293451341
ABEV3;12.29;6.2;13.56;2.28;1.45;49.95;21.5;17.26;10.89;10.71;-0.47;-0.1;2.34;956.91;-1.96;1.01;16.78;10.71;18.2;0.64;0.35;0.62;10.72;14.46;317770536.9;5.4;0.91;2.5;1.93615E+11
ADHM3;1.56;;-4.09;-1.29;105.12;100;-13548.48;-18860.61;-5.69;-5.69;0;;770.9;-1.43;-116.16;0;-31.47;-2571.9;22.61;-81.72;82.72;0.14;;;;-1.21;-0.38;-0.58;25439770.2
AERI3;0.78;;-5.6;0.71;0.19;13.03;9.37;-3.59;2.15;5.58;3.38;1.11;0.2;0.79;-0.49;1.63;-12.65;-3.35;9.83;0.27;0.73;0.93;;;5385316.62;1.1;-0.14;0;597646495.7
AESB3;10.22;;42.44;1.4;0.31;34.55;27.4;4.68;7.25;17.19;9.82;1.89;1.99;3.65;-0.39;1.64;3.29;0.73;4.29;0.22;0.73;0.16;;;22184492.03;7.32;0.24;-0.61;6151697118
AFLT3;7.7;3.41;15.85;1.86;1.55;57.31;45.58;44.72;15.56;14.55;-0.38;-0.05;7.09;15.92;-1.93;1.98;11.71;9.8;10.57;0.84;0.16;0.22;24.96;19.61;15174.81;4.15;0.49;-0.21;485752190
AGRO3;24.03;13.22;9.19;1.12;0.7;30.76;21.55;20.98;8.95;10.79;1.67;0.21;1.93;3.44;-1.14;2.14;12.22;7.65;8.56;0.63;0.37;0.36;27.22;16.28;21947702.05;21.4;2.62;-0.19;2467483159
AGXY3;3.81;1.04;-3.31;0.62;0.07;12.38;3.9;-1.77;1.5;3.66;2.15;0.88;0.06;1.33;-0.36;1.08;-18.62;-2.24;13.29;0.12;0.88;1.27;;;262281.82;6.18;-1.15;0;650843208.1
AHEB3;16;;1.82;15.94;0.37;35.19;21.45;15.93;1.36;1.03;-0.32;-3.79;0.29;2.79;-0.64;1.46;873.55;20.39;683.71;0.02;0.98;1.28;20.77;;3642.5;1;8.77;0;136782554
